match_id,duration,game_mode,start_time,kills,deaths,assists,party_size,hero,team,win,ranked,avg_win_rate_20,avg_kills_20,avg_deaths_20,avg_assists_20,max_kills_20,max_deaths_20,max_assists_20,account_id
114695327,705,1,1359802864,1,0,0,,Razor,radiant,1,0,,,,,,,,100501459
115292685,561,1,1359844864,1,1,2,,Nature's Prophet,dire,1,0,,,,,,,,100501459
115303364,2134,1,1359845979,0,11,10,,Rubick,dire,0,0,,,,,,,,100501459
115465112,1529,1,1359868813,2,6,4,,Weaver,radiant,0,0,,,,,,,,100501459
116527510,2525,1,1359974609,3,7,8,,Weaver,dire,0,0,,,,,,,,100501459
117316924,2983,1,1360061854,3,14,5,,Chaos Knight,dire,0,0,,,,,,,,100501459
147761994,2161,1,1363158562,5,1,3,,Weaver,radiant,1,0,,,,,,,,100501459
148501133,2511,1,1363255512,4,5,13,,Viper,radiant,1,0,,,,,,,,100501459
149178276,2731,1,1363340971,5,11,18,,Weaver,dire,1,0,,,,,,,,100501459
150678732,2780,1,1363481077,8,4,3,,Faceless Void,radiant,1,0,,,,,,,,100501459
150696950,3067,1,1363484336,1,7,1,,Enchantress,dire,1,0,,,,,,,,100501459
150777265,1897,1,1363498109,1,8,5,,Chaos Knight,radiant,0,0,,,,,,,,100501459
152362496,2348,1,1363681934,0,10,2,,Drow Ranger,dire,0,0,,,,,,,,100501459
153790040,2815,1,1363856833,11,14,10,,Viper,dire,0,0,,,,,,,,100501459
153827264,2161,1,1363861380,3,14,7,,Shadow Shaman,dire,0,0,,,,,,,,100501459
153852721,2200,1,1363864070,2,10,6,,Spirit Breaker,radiant,0,0,,,,,,,,100501459
156085581,2370,1,1364080080,2,5,4,,Lone Druid,dire,0,0,,,,,,,,100501459
156312596,2643,1,1364112325,3,9,5,,Lich,radiant,0,0,,,,,,,,100501459
157249526,2622,1,1364201509,13,3,8,,Phantom Assassin,radiant,1,0,,,,,,,,100501459
157280664,2242,1,1364204705,2,3,12,,Phantom Assassin,dire,1,0,0.45,3.5,7.15,6.3,13.0,14.0,18.0,100501459
158913225,2249,1,1364379227,3,7,6,,Ogre Magi,dire,0,0,0.4,3.6,7.5,6.6,13.0,14.0,18.0,100501459
158950407,1590,1,1364382772,3,9,4,,Phantom Assassin,dire,0,0,0.35,3.7,7.9,6.7,13.0,14.0,18.0,100501459
158974831,2856,1,1364385027,7,2,12,,Tiny,radiant,1,0,0.4,4.05,7.45,6.8,13.0,14.0,18.0,100501459
159718784,2983,1,1364465275,0,4,3,,Chen,radiant,0,0,0.4,3.95,7.35,6.75,13.0,14.0,18.0,100501459
160415964,1800,1,1364530787,2,11,5,,Troll Warlord,radiant,0,0,0.4,3.9,7.55,6.6,13.0,14.0,18.0,100501459
160432451,2273,1,1364533136,4,5,11,,Crystal Maiden,radiant,1,0,0.45,3.95,7.1,6.9,13.0,14.0,18.0,100501459
160556345,1130,1,1364546857,0,4,2,,Sven,dire,0,0,0.4,3.7,7.25,6.85,13.0,14.0,18.0,100501459
160575520,2298,1,1364548641,3,3,6,,Centaur Warrunner,radiant,1,0,0.4,3.65,7.15,6.5,13.0,14.0,18.0,100501459
160646273,2349,1,1364554527,5,9,13,,Troll Warlord,radiant,1,0,0.4,3.65,7.05,6.25,13.0,14.0,13.0,100501459
161244499,2199,1,1364600906,1,11,6,,Luna,radiant,0,0,0.35,3.3,7.4,6.4,13.0,14.0,13.0,100501459
161268826,3570,1,1364605675,14,9,11,,Phantom Assassin,dire,0,0,0.3,3.95,7.5,6.9,14.0,14.0,13.0,100501459
161416540,2798,1,1364628443,7,9,11,,Lich,radiant,0,0,0.3,4.25,7.55,7.2,14.0,14.0,13.0,100501459
161448537,2357,1,1364631820,4,5,17,,Axe,radiant,1,0,0.35,4.45,7.3,7.95,14.0,14.0,17.0,100501459
161483014,2683,1,1364635061,3,14,8,,Shadow Demon,radiant,0,0,0.35,4.05,7.3,7.85,14.0,14.0,17.0,100501459
161543038,1322,1,1364640098,7,1,9,,Sand King,radiant,1,0,0.4,4.25,6.65,7.95,14.0,14.0,17.0,100501459
161564638,2122,1,1364641841,17,4,16,,Zeus,dire,1,0,0.45,5.0,6.35,8.45,17.0,14.0,17.0,100501459
161597721,3357,1,1364644434,14,16,14,,Storm Spirit,radiant,0,0,0.45,5.6,6.9,8.95,17.0,16.0,17.0,100501459
162096421,1363,1,1364681210,2,5,2,,Sniper,dire,1,0,0.5,5.55,6.7,8.8,17.0,16.0,17.0,100501459
162112416,3545,1,1364683080,9,13,15,,Spirit Breaker,dire,0,0,0.45,5.35,7.2,9.15,17.0,16.0,17.0,100501459
163977176,2888,1,1364904018,3,15,7,,Juggernaut,radiant,1,0,0.45,5.4,7.8,8.9,17.0,16.0,17.0,100501459
164654919,472,1,1364990681,0,2,1,,Ogre Magi,dire,0,0,0.45,5.25,7.55,8.65,17.0,16.0,17.0,100501459
164663251,2988,1,1364991484,14,14,10,,Tusk,dire,0,0,0.45,5.8,7.8,8.95,17.0,16.0,17.0,100501459
167351806,2578,1,1365289868,7,6,6,,Bloodseeker,radiant,0,0,0.4,5.8,8.0,8.65,17.0,16.0,17.0,100501459
167371179,2281,1,1365293092,0,5,5,,Troll Warlord,dire,1,0,0.45,5.8,8.05,8.75,17.0,16.0,17.0,100501459
167557546,1949,1,1365321693,6,3,17,,Beastmaster,dire,1,0,0.5,6.0,7.65,9.35,17.0,16.0,17.0,100501459
167730565,2892,1,1365336182,4,11,10,,Dragon Knight,radiant,0,0,0.45,6.0,7.95,9.3,17.0,16.0,17.0,100501459
168359094,1950,1,1365411703,4,3,10,,Mirana,dire,1,0,0.5,6.2,7.9,9.7,17.0,16.0,17.0,100501459
168400386,1907,1,1365417009,4,13,3,,Pudge,radiant,0,0,0.45,6.25,8.4,9.55,17.0,16.0,17.0,100501459
169826579,2638,1,1365594801,8,4,17,,Silencer,dire,1,0,0.45,6.4,8.15,9.75,17.0,16.0,17.0,100501459
170439457,462,1,1365672607,0,0,0,,Lone Druid,dire,1,0,0.5,6.35,7.6,9.45,17.0,16.0,17.0,100501459
170442984,2384,1,1365673081,2,7,9,,Juggernaut,dire,0,0,0.5,5.75,7.5,9.35,17.0,16.0,17.0,100501459
170466439,3132,1,1365675898,5,7,16,,Doom,dire,0,0,0.5,5.65,7.4,9.6,17.0,16.0,17.0,100501459
170520404,3225,1,1365681337,1,16,11,,Disruptor,radiant,0,0,0.45,5.5,7.95,9.3,17.0,16.0,17.0,100501459
172594849,2324,1,1365897050,5,7,10,,Chen,radiant,0,0,0.45,5.6,7.6,9.4,17.0,16.0,17.0,100501459
172610184,2462,1,1365899912,18,3,11,,Brewmaster,radiant,1,0,0.45,6.15,7.7,9.5,18.0,16.0,17.0,100501459
172718221,2719,1,1365918384,4,11,23,,Sand King,dire,1,0,0.45,5.5,8.05,9.85,18.0,16.0,23.0,100501459
173627454,2018,1,1366019796,9,2,9,,Silencer,dire,1,0,0.5,5.25,7.35,9.6,18.0,16.0,23.0,100501459
173648543,2012,1,1366022276,6,2,12,,Brewmaster,radiant,1,0,0.5,5.45,7.2,10.1,18.0,16.0,23.0,100501459
173673895,3047,1,1366024974,9,8,15,,Leshrac,dire,1,0,0.55,5.45,6.95,10.1,18.0,16.0,23.0,100501459
175083554,2391,1,1366202889,14,7,14,,Huskar,dire,1,0,0.55,6.0,6.55,10.45,18.0,16.0,23.0,100501459
175638129,1730,1,1366276215,7,9,5,,Tiny,radiant,0,0,0.55,6.35,6.9,10.65,18.0,16.0,23.0,100501459
175654822,1516,1,1366278368,1,5,6,,Vengeful Spirit,dire,0,0,0.55,5.7,6.45,10.45,18.0,16.0,23.0,100501459
176482160,2750,1,1366376775,7,13,17,,Nature's Prophet,radiant,0,0,0.55,5.7,6.8,11.0,18.0,16.0,23.0,100501459
177873813,1690,1,1366511280,1,9,2,,Viper,dire,0,0,0.5,5.75,7.0,10.85,18.0,16.0,23.0,100501459
178159230,3137,1,1366542418,1,5,9,,Windranger,radiant,0,0,0.45,5.5,7.1,10.45,18.0,16.0,23.0,100501459
178696654,2847,1,1366595387,7,7,6,,Phantom Assassin,dire,0,0,0.45,5.65,6.9,10.25,18.0,16.0,23.0,100501459
178751107,1883,1,1366608303,2,11,4,,Axe,dire,0,0,0.4,5.55,7.3,9.95,18.0,16.0,23.0,100501459
178872518,3097,1,1366627795,4,6,6,,Puck,radiant,0,0,0.4,5.55,6.95,10.1,18.0,16.0,23.0,100501459
179601084,1644,1,1366719021,10,2,9,,Bloodseeker,radiant,1,0,0.4,5.65,6.85,9.7,18.0,16.0,23.0,100501459
179629602,1712,1,1366721513,1,7,4,,Death Prophet,dire,0,0,0.35,5.7,7.2,9.9,18.0,16.0,23.0,100501459
179999155,1236,1,1366756205,3,4,5,,Sven,radiant,1,0,0.4,5.75,7.05,9.7,18.0,16.0,23.0,100501459
180215597,2082,1,1366800294,1,13,5,,Jakiro,dire,0,0,0.4,5.55,7.35,9.15,18.0,16.0,23.0,100501459
180872881,1829,1,1366884919,6,2,8,,Sven,radiant,1,0,0.45,5.8,6.65,9.0,18.0,13.0,23.0,100501459
180922875,2725,1,1366890082,2,3,11,,Enigma,radiant,1,0,0.5,5.65,6.45,9.05,18.0,13.0,23.0,100501459
181437581,1640,1,1366954505,2,7,13,,Io,radiant,1,0,0.5,4.85,6.65,9.15,14.0,13.0,23.0,100501459
181448642,1420,1,1366956789,3,9,4,,Necrophos,dire,0,0,0.45,4.8,6.55,8.2,14.0,13.0,17.0,100501459
182052915,2572,1,1367018467,9,6,15,,Zeus,radiant,1,0,0.45,4.8,6.75,8.5,14.0,13.0,17.0,100501459
182447817,2452,1,1367067917,5,7,13,,Bloodseeker,dire,0,0,0.4,4.75,7.0,8.55,14.0,13.0,17.0,100501459
182487829,1971,1,1367070892,1,10,10,,Timbersaw,radiant,0,0,0.35,4.35,7.1,8.3,14.0,13.0,17.0,100501459
183020176,2554,1,1367126917,2,10,9,,Dazzle,dire,0,0,0.3,3.75,7.25,8.05,10.0,13.0,17.0,100501459
183789047,1590,1,1367203183,8,2,5,,Enchantress,radiant,1,0,0.35,3.8,6.9,8.05,10.0,13.0,17.0,100501459
183798583,2037,1,1367205488,4,9,4,,Rubick,radiant,0,0,0.35,3.95,7.1,7.95,10.0,13.0,17.0,100501459
184011578,3705,1,1367237868,6,16,17,,Slark,radiant,0,0,0.35,3.9,7.25,7.95,10.0,16.0,17.0,100501459
184514484,2185,1,1367299330,4,15,7,,Viper,radiant,0,0,0.35,4.05,7.55,8.2,10.0,16.0,17.0,100501459
184529356,2221,1,1367302197,3,5,2,,Anti-Mage,radiant,1,0,0.4,4.15,7.55,7.85,10.0,16.0,17.0,100501459
184735241,1748,1,1367324987,2,10,9,,Bane,dire,0,0,0.4,3.9,7.7,8.0,10.0,16.0,17.0,100501459
187688652,1965,1,1367629899,4,11,1,,Juggernaut,dire,0,0,0.4,4.0,7.7,7.85,10.0,16.0,17.0,100501459
187700307,2779,1,1367632380,3,18,8,,Broodmother,radiant,0,0,0.4,3.95,8.3,7.95,10.0,18.0,17.0,100501459
187864184,1959,1,1367656563,5,12,4,,Ogre Magi,radiant,0,0,0.35,3.7,8.8,7.7,9.0,18.0,17.0,100501459
188006723,3146,1,1367669216,3,11,18,,Tiny,radiant,0,0,0.35,3.8,9.0,8.4,9.0,18.0,18.0,100501459
188083951,3054,1,1367675428,4,9,15,,Earthshaker,dire,0,0,0.3,3.85,9.25,8.9,9.0,18.0,18.0,100501459
188634355,3047,1,1367736798,4,11,9,,Bounty Hunter,radiant,0,0,0.3,4.0,9.15,9.1,9.0,18.0,18.0,100501459
188686889,3158,1,1367742388,12,7,24,,Magnus,radiant,1,0,0.3,4.3,9.4,9.9,12.0,18.0,24.0,100501459
189432047,2914,1,1367831366,1,18,21,,Clockwerk,radiant,0,0,0.25,4.25,10.15,10.4,12.0,18.0,24.0,100501459
189501700,2965,1,1367839239,4,8,22,,Tusk,dire,1,0,0.25,4.35,10.2,10.85,12.0,18.0,24.0,100501459
190163204,2056,1,1367926971,4,4,14,,Brewmaster,dire,1,0,0.3,4.4,9.95,11.35,12.0,18.0,24.0,100501459
191512042,1882,1,1368096920,9,2,11,,Juggernaut,radiant,1,0,0.3,4.4,9.75,11.15,12.0,18.0,24.0,100501459
191535217,536,1,1368099279,1,0,1,,Undying,radiant,1,0,0.35,4.2,9.4,10.55,12.0,18.0,24.0,100501459
192729139,1337,1,1368234941,0,4,4,,Death Prophet,dire,1,0,0.4,4.15,9.1,10.25,12.0,18.0,24.0,100501459
192839483,2605,1,1368254100,2,14,11,,Nature's Prophet,radiant,0,0,0.4,4.15,9.3,10.35,12.0,18.0,24.0,100501459
193021207,3075,1,1368272017,5,6,16,,Brewmaster,radiant,1,0,0.4,4.0,9.5,10.9,12.0,18.0,24.0,100501459
194458313,2807,1,1368431771,3,12,10,,Ogre Magi,radiant,0,0,0.4,3.95,9.65,11.2,12.0,18.0,24.0,100501459
195209219,3835,1,1368530948,7,8,16,,Mirana,dire,1,0,0.45,4.0,9.25,11.15,12.0,18.0,24.0,100501459
195814736,2031,1,1368611748,3,6,7,,Ogre Magi,radiant,1,0,0.5,3.95,8.8,11.15,12.0,18.0,24.0,100501459
195847614,2047,1,1368615673,11,5,24,,Axe,radiant,1,0,0.5,4.35,8.8,12.25,12.0,18.0,24.0,100501459
196555432,2298,1,1368708290,12,4,27,,Necrophos,radiant,1,0,0.55,4.85,8.5,13.15,12.0,18.0,27.0,100501459
197768962,2837,1,1368858947,19,8,12,,Viper,dire,1,0,0.6,5.6,8.35,13.7,19.0,18.0,27.0,100501459
198463065,3735,1,1368924891,2,10,17,,Queen of Pain,dire,0,0,0.6,5.55,7.95,14.15,19.0,18.0,27.0,100501459
198551898,2769,1,1368941025,12,5,10,,Night Stalker,dire,1,0,0.65,5.9,7.6,14.45,19.0,18.0,27.0,100501459
198672366,1950,1,1368953260,2,11,3,,Visage,radiant,0,0,0.65,5.85,7.6,13.7,19.0,18.0,27.0,100501459
198699301,2930,1,1368955645,2,11,23,,Shadow Fiend,dire,0,0,0.65,5.75,7.7,14.1,19.0,18.0,27.0,100501459
198747744,1736,1,1368959811,1,10,5,,Doom,dire,0,0,0.65,5.6,7.65,13.9,19.0,18.0,27.0,100501459
