match_id,duration,start_time,kills,deaths,assists,party_size,hero,team,win,ranked,avg_win_rate_20,avg_kills_20,avg_deaths_20,avg_assists_20,max_kills_20,max_deaths_20,max_assists_20
6075714881,2613,1625550872,4,12,12,1.0,Underlord,dire,0,0,,,,,,,
6076902345,3372,1625613044,7,10,13,1.0,Sniper,dire,1,0,,,,,,,
6077038642,2778,1625626559,1,7,21,1.0,Underlord,radiant,0,0,,,,,,,
6077073478,2649,1625629750,3,12,14,1.0,Sniper,dire,0,0,,,,,,,
6077208919,3057,1625640918,2,11,4,1.0,Luna,dire,0,0,,,,,,,
6077520907,2594,1625659721,2,11,4,1.0,Underlord,dire,0,0,,,,,,,
6078431000,2287,1625708839,3,7,5,5.0,Hoodwink,dire,0,0,,,,,,,
6078619991,3008,1625724648,3,6,17,2.0,Underlord,dire,1,0,,,,,,,
6080103599,2144,1625815343,0,9,4,1.0,Underlord,dire,0,0,,,,,,,
6081650597,2222,1625902325,2,11,6,1.0,Hoodwink,dire,0,0,,,,,,,
6082888795,2025,1625964195,2,10,6,1.0,Hoodwink,radiant,0,0,,,,,,,
6082915015,2549,1625966732,1,7,9,1.0,Underlord,radiant,0,0,,,,,,,
6083590516,2455,1626002411,3,10,10,5.0,Underlord,dire,0,0,,,,,,,
6083663443,2214,1626005342,4,3,9,3.0,Underlord,dire,1,0,,,,,,,
6084784796,2613,1626068977,1,5,20,3.0,Underlord,radiant,1,0,,,,,,,
6084823433,1927,1626072010,2,8,1,3.0,Underlord,radiant,0,0,,,,,,,
6085114244,2208,1626089636,3,6,3,1.0,Underlord,radiant,0,0,,,,,,,
6086123213,1658,1626147122,1,14,4,1.0,Luna,dire,0,0,,,,,,,
6086147891,3666,1626149172,9,12,19,1.0,Underlord,radiant,0,0,,,,,,,
6086285458,2876,1626160058,2,10,9,2.0,Underlord,radiant,0,0,0.2,2.75,9.05,9.5,9.0,14.0,21.0
6086531948,2918,1626174911,2,13,9,4.0,Underlord,radiant,0,0,0.2,2.65,9.1,9.35,9.0,14.0,21.0
6087708654,2512,1626245256,2,10,14,3.0,Underlord,dire,0,0,0.15,2.4,9.1,9.4,9.0,14.0,21.0
