match_id,duration,start_time,kills,deaths,assists,party_size,hero,team,win,avg_win_rate_20,avg_kills_20,avg_deaths_20,avg_assists_20
735163467,2658,1403436254,4,4,10,,Chaos Knight,radiant,False,,,,
735262541,1396,1403439430,2,3,10,,Phoenix,dire,True,,,,
739309761,2452,1403620513,4,9,16,,Alchemist,radiant,False,,,,
739403120,2303,1403623463,18,4,12,,Witch Doctor,dire,True,,,,
742654573,2215,1403783213,4,3,2,,Weaver,dire,False,,,,
742737989,2163,1403786403,4,7,7,,Witch Doctor,dire,False,,,,
742822832,3427,1403789101,7,8,21,,Witch Doctor,dire,False,,,,
742940207,2097,1403793260,3,9,6,,Witch Doctor,radiant,False,,,,
743726591,2270,1403831903,8,10,14,,Witch Doctor,radiant,False,,,,
744678362,2524,1403875933,0,7,5,,Lone Druid,radiant,False,,,,
744775572,1648,1403878923,6,3,5,,Alchemist,radiant,True,,,,
744842197,2161,1403881013,2,10,3,,Leshrac,radiant,False,,,,
744929134,3537,1403883759,5,10,14,,Witch Doctor,radiant,False,,,,
746253557,1338,1403948610,5,2,3,,Anti-Mage,radiant,True,,,,
746297038,1876,1403950300,1,8,2,,Dazzle,dire,False,,,,
746382459,2449,1403953610,3,0,15,,Weaver,dire,True,,,,
746468197,3139,1403956751,12,5,18,,Disruptor,dire,False,,,,
746607449,1570,1403961465,3,5,5,,Juggernaut,dire,False,,,,
747577074,2226,1404005269,13,1,16,,Witch Doctor,dire,True,,,,
747628428,2304,1404008765,3,6,7,,Witch Doctor,dire,False,0.3,5.35,5.7,9.55
747705161,2880,1404013601,6,6,14,,Batrider,radiant,True,0.35,5.45,5.8,9.75
747764886,2654,1404016950,11,7,18,,Ursa,radiant,True,0.35,5.9,6.0,10.15
747844946,2467,1404021064,8,5,13,,Witch Doctor,radiant,True,0.4,6.1,5.8,10.0
748293644,2706,1404039334,4,7,11,,Witch Doctor,dire,False,0.35,5.4,5.95,9.95
755918651,2246,1404393477,3,8,7,,Clockwerk,radiant,False,0.35,5.35,6.2,10.2
756004463,3927,1404396278,13,9,13,,Shadow Demon,dire,True,0.4,5.8,6.3,10.5
758860334,2150,1404536811,3,3,7,,Sand King,radiant,True,0.45,5.6,6.05,9.8
760835126,3083,1404624496,5,8,4,,Clinkz,dire,False,0.45,5.7,6.0,9.7
769510356,2762,1405053056,9,4,13,,Outworld Destroyer,dire,True,0.5,5.75,5.7,9.65
769763816,2711,1405066424,11,6,22,,Witch Doctor,radiant,True,0.55,6.3,5.65,10.5
790237954,2147,1406008577,1,12,10,,Lycan,dire,False,0.5,6.05,6.1,10.75
