match_id,duration,start_time,kills,deaths,assists,party_size,hero,team,win,ranked,avg_win_rate_20,avg_kills_20,avg_deaths_20,avg_assists_20,max_kills_20,max_deaths_20,max_assists_20
423834275,1534,1387081690,1,8,5,,Tiny,radiant,0,0,,,,,,,
423851469,2009,1387082556,5,6,8,,Spirit Breaker,dire,0,0,,,,,,,
423911835,1358,1387085373,0,11,1,,Slark,dire,0,0,,,,,,,
423961522,1138,1387087520,2,5,1,,Slark,dire,0,0,,,,,,,
434730633,3030,1387680924,4,8,8,,Sven,radiant,1,0,,,,,,,
439113840,1895,1387929847,16,4,5,,Sven,radiant,1,0,,,,,,,
563425791,2807,1394889369,6,10,17,,Ogre Magi,dire,0,0,,,,,,,
563531343,2175,1394893110,10,5,9,,Slark,dire,0,0,,,,,,,
632849459,2551,1398728256,7,2,11,,Phantom Lancer,radiant,1,0,,,,,,,
632874152,2190,1398731357,1,9,5,,Slark,radiant,0,0,,,,,,,
632950243,3307,1398739544,7,13,17,,Huskar,radiant,1,0,,,,,,,
633043767,2610,1398747636,14,12,5,,Huskar,dire,0,0,,,,,,,
633092503,2681,1398751209,11,8,7,,Legion Commander,dire,1,0,,,,,,,
749622680,2224,1404102668,1,6,3,,Lifestealer,dire,0,0,,,,,,,
753199371,1557,1404262763,0,3,5,,Legion Commander,dire,1,0,,,,,,,
755063830,2749,1404352260,9,6,13,,Drow Ranger,dire,1,0,,,,,,,
755137268,1736,1404357916,10,4,6,,Huskar,dire,1,0,,,,,,,
755631001,2104,1404383491,8,3,2,,Huskar,dire,1,0,,,,,,,
2610359100,3050,1472561419,8,9,2,,Huskar,dire,1,0,,,,,,,
2612240210,2369,1472635271,4,9,8,,Spirit Breaker,radiant,0,0,0.5,6.2,7.05,6.9,16.0,13.0,17.0
2612336229,3453,1472638207,12,8,24,,Lifestealer,dire,0,0,0.5,6.75,7.05,7.85,16.0,13.0,24.0
2612625898,3442,1472646300,8,6,14,,Legion Commander,radiant,0,0,0.5,6.9,7.05,8.15,16.0,13.0,24.0
2614385564,2041,1472721309,16,0,20,,Abaddon,dire,1,0,0.55,7.7,6.5,9.1,16.0,13.0,24.0
